id,fake_timestamp,day,month,year,limit_balance,sex,education_level,marital_status,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,default_payment_next_month,risk_score,equivalent_score
15,2023-10-03,03,10,2023,50000,2,1,2,24,0,0,0,2,0,0,27245,28300,31900,31090,31837,32555,1800,4400,0,1400,1400,1400,0,0.231707186,768.2928145
16,2023-10-03,03,10,2023,140000,1,1,2,55,0,0,0,0,0,0,65640,66998,68201,68866,65781,66850,2800,3000,2500,2350,2400,2400,0,0.088645153,911.3548473
17,2023-10-03,03,10,2023,80000,1,2,1,41,-2,-2,-2,-2,-2,-1,3153,1013,0,0,2115,4264,1013,0,0,2115,4264,0,0,0.152390614,847.6093858
18,2023-10-03,03,10,2023,90000,1,1,2,27,0,0,0,2,2,2,56608,57897,63686,65233,66637,67882,2800,7400,3200,2600,2500,2500,0,0.217151299,782.8487009
19,2023-10-03,03,10,2023,50000,2,2,2,24,0,0,0,0,0,0,49819,50135,32101,17401,19820,17399,1672,1246,574,3000,649,285,0,0.163932085,836.067915
20,2023-10-03,03,10,2023,50000,1,3,1,54,0,0,0,0,0,0,38607,39681,40717,41682,42857,45581,2000,2000,1642,2000,3600,0,0,0.153424948,846.5750515
21,2023-10-03,03,10,2023,230000,1,2,2,32,0,0,0,0,0,0,28114,28006,25000,22046,19860,19831,1610,1224,655,627,620,500,0,0.067100942,932.8990579
22,2023-10-03,03,10,2023,290000,1,1,1,40,0,0,0,0,0,0,98441,95169,93718,89712,82809,76334,4000,4250,5000,3241,3500,7000,0,0.048,951.9999996
23,2023-10-03,03,10,2023,200000,2,1,2,37,0,0,0,0,0,0,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,0,0.051095426,948.9045739
24,2023-10-04,04,10,2023,210000,1,3,1,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,1,0.581392467,418.607533
25,2023-10-04,04,10,2023,40000,2,2,1,23,2,2,2,2,2,2,33895,33068,35704,36173,36796,37288,0,3200,1500,1500,1400,1500,1,0.685613215,314.386785
26,2023-10-04,04,10,2023,360000,1,3,1,55,0,0,-1,-1,-1,-2,9210,8485,17231,1770,0,0,6015,17454,1775,0,0,0,0,0.07388629,926.1137098
27,2023-10-04,04,10,2023,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,0.172988281,827.0117193
28,2023-10-05,05,10,2023,20000,1,2,2,25,0,0,0,-2,-1,0,3400,4129,0,0,3244,3314,1000,0,0,3244,124,66,0,0.189020574,810.9794259
29,2023-10-05,05,10,2023,150000,1,1,2,28,-1,2,2,-2,-2,-2,1111,820,-311,-602,-893,-1184,0,0,0,0,0,0,1,0.579575717,420.4242826
30,2023-10-05,05,10,2023,80000,2,3,1,26,0,0,0,0,0,0,63677,64162,38141,38190,38586,39962,2000,1905,1350,1388,2401,1410,0,0.128316253,871.6837466
31,2023-10-05,05,10,2023,220000,2,2,1,54,-1,-1,-1,-1,-2,-2,8727,2553,147,0,0,0,3011,147,0,0,0,0,0,0.183328718,816.6712821
32,2023-10-05,05,10,2023,30000,1,2,2,29,8,7,6,5,4,3,34423,33952,33165,32391,31332,30558,0,0,0,0,0,0,0,0.349533528,650.4664719
33,2023-10-05,05,10,2023,340000,1,1,1,52,-2,-2,-2,-2,-2,-2,30832,33652,35192,30000,10766,33887,33670,35212,30000,10766,33905,30200,1,0.96780175,32.19825029
34,2023-10-05,05,10,2023,60000,1,3,1,55,3,2,2,0,0,0,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,0,0.270611495,729.3885052
35,2023-10-05,05,10,2023,180000,2,2,1,38,0,0,0,0,0,0,152510,151651,159019,123022,126075,126219,5657,10372,5000,5000,5000,5000,0,0.094171472,905.8285281
36,2023-10-05,05,10,2023,100000,1,3,2,49,-1,-1,-2,-2,-2,-2,1440,0,0,0,0,0,0,0,0,0,0,0,0,0.267022222,732.9777777
37,2023-10-05,05,10,2023,180000,1,3,1,45,1,2,0,0,0,0,24400,24508,22627,23306,22780,20890,1500,1500,1000,1000,1000,1000,0,0.310931802,689.0681982
38,2023-10-05,05,10,2023,230000,2,1,1,35,0,0,0,0,-2,-2,4259,5432,6182,0,0,0,1250,1000,0,0,0,0,0,0.127219319,872.7806807
39,2023-10-05,05,10,2023,380000,1,2,2,34,0,0,0,0,0,0,194314,179206,193992,174675,171253,169121,9010,35000,5000,6000,5000,4400,0,0.055412076,944.5879236
40,2023-10-05,05,10,2023,20000,1,3,2,32,0,0,2,2,2,0,3677,6002,5758,12619,12274,15049,2400,0,7000,0,3000,4000,1,0.599035084,400.9649158
41,2023-10-06,06,10,2023,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,0.66386342,336.1365795
42,2023-10-06,06,10,2023,220000,1,2,1,60,-1,-1,-1,-1,-1,-1,1994,1598,6944,7161,1534,11248,1606,6978,7196,1541,11304,483,1,0.863436401,136.5635991
43,2023-10-06,06,10,2023,360000,1,1,1,38,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,1,0.786222517,213.7774825
44,2023-10-06,06,10,2023,30000,2,2,2,26,0,0,0,0,0,0,17893,19012,20123,20222,20796,19844,1411,1522,621,795,715,1000,1,0.81967026,180.32974
45,2023-10-06,06,10,2023,130000,1,2,2,37,0,0,0,-2,-2,-2,131446,102650,0,0,0,0,5000,0,0,0,0,0,0,0.130159065,869.8409349
46,2023-10-06,06,10,2023,80000,2,1,2,23,0,0,0,0,0,-1,53261,38091,19744,14556,0,1460,4500,2011,3105,0,1460,0,0,0.112577647,887.422353
47,2023-10-06,06,10,2023,440000,2,2,2,26,0,0,0,0,0,0,96190,90462,78267,71795,51812,25064,3513,3017,2037,2019,3010,3004,0,0.026926709,973.0732907
48,2023-10-07,07,10,2023,350000,1,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447027266,552.972734
49,2023-10-07,07,10,2023,140000,1,2,2,26,2,0,0,0,0,0,133572,135367,113272,115685,118171,120550,6169,4500,4287,4500,4500,9500,1,0.6806041,319.3958998
50,2023-10-07,07,10,2023,300000,1,1,2,32,-2,-2,-2,-2,-2,-2,264,264,264,264,414,264,264,264,264,414,264,264,0,0.142435297,857.5647026
51,2023-10-07,07,10,2023,280000,2,2,1,37,0,0,0,0,0,0,29078,30144,32629,35126,35759,42317,1515,3000,3000,1292,7147,1415,0,0.040081669,959.9183314
52,2023-10-07,07,10,2023,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,0.1100339,889.9661005
53,2023-10-07,07,10,2023,30000,1,2,1,47,1,2,0,0,2,2,15148,14620,15322,16469,16063,17295,0,1253,1400,0,1500,0,0,0.428928524,571.0714757
54,2023-10-07,07,10,2023,90000,2,1,2,27,0,0,-2,-2,-2,-2,7624,0,0,0,0,0,0,0,0,0,0,0,0,0.155125245,844.8747545
55,2023-10-07,07,10,2023,260000,2,2,2,24,0,0,0,0,0,0,68411,60386,48663,50998,53835,56728,2500,4000,4000,3835,3805,3000,0,0.037152033,962.8479667
56,2023-10-07,07,10,2023,150000,2,2,1,42,-1,-1,-1,-1,-1,-1,3260,2270,5887,3935,3935,3935,2270,5887,3935,3935,3935,3935,1,0.875793338,124.2066622
57,2023-10-08,08,10,2023,310000,1,2,1,29,0,0,0,0,0,0,31132,45718,62992,62473,69837,69898,20000,20000,2500,11056,3000,4377,0,0.028283199,971.7168007
58,2023-10-08,08,10,2023,180000,1,2,1,34,-1,-1,-1,-1,-1,-1,2927,2790,1140,2144,1180,1382,2790,1140,2144,1180,1382,2440,0,0.15647608,843.5239196
59,2023-10-08,08,10,2023,50000,2,2,2,49,2,0,-1,-1,-1,0,38947,37799,3,18080,12227,13296,2000,1000,19000,12500,2000,2000,1,0.63244462,367.5553799
60,2023-10-08,08,10,2023,250000,2,3,2,35,-2,-2,-2,-2,-2,-2,7244,8472,1738,6706,2391,11082,8514,1751,6739,2403,11137,13407,0,0.046623986,953.3760138
61,2023-10-09,09,10,2023,500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,0.963779449,36.22055054
62,2023-10-09,09,10,2023,360000,2,2,2,52,-2,-2,-2,-2,-2,-2,640,2113,-6,999,944,-3,2231,0,1005,948,0,789,0,0.125020444,874.9795556
63,2023-10-09,09,10,2023,20000,2,3,2,24,1,2,0,0,0,0,19154,18165,17233,7630,1730,0,0,1333,500,100,0,3200,0,0.412813216,587.1867836
64,2023-10-09,09,10,2023,110000,2,2,2,36,0,0,0,0,0,0,47819,48947,50330,50894,52175,53652,2200,2500,2000,2100,2500,2200,0,0.085650012,914.3499881
65,2023-10-09,09,10,2023,500000,2,1,2,35,-1,-1,-1,-1,0,-1,22369,14100,24754,21443,13892,11241,14128,24902,21479,11465,11356,66710,0,0.030623889,969.3761114
66,2023-10-10,10,10,2023,50000,1,2,2,23,-1,-1,-1,-1,0,0,350,350,400,1695,12645,12584,350,400,1695,11300,485,2400,0,0.142845392,857.1546078
67,2023-10-10,10,10,2023,20000,1,2,2,25,0,0,0,0,2,2,17384,13648,13924,15685,15292,17524,1500,1400,2000,0,2500,0,0,0.289977044,710.0229561
68,2023-10-10,10,10,2023,390000,2,1,2,27,0,0,0,0,0,0,304867,299998,300426,292869,292885,281826,13007,10612,10041,11000,10512,7000,1,0.88909173,110.9082699
69,2023-10-10,10,10,2023,190000,2,1,2,41,-1,-1,-1,-1,-1,-1,28204,0,16500,0,26854,554,0,16500,0,26854,500,0,1,0.867633939,132.3660612
70,2023-10-10,10,10,2023,230000,1,2,2,32,2,2,2,2,2,2,189567,189023,187521,182671,174794,182160,9000,6300,6200,500,12500,0,1,0.738944054,261.0559464
71,2023-10-10,10,10,2023,30000,2,2,1,39,-1,-1,-1,-1,-1,-1,223,223,223,223,223,675,223,223,223,223,675,10473,1,0.764500439,235.4995608
72,2023-10-10,10,10,2023,120000,2,3,2,37,-1,-1,-1,-1,-1,-1,776,1616,776,776,776,776,1616,776,776,776,776,776,1,0.81406951,185.9304905
73,2023-10-10,10,10,2023,150000,2,1,3,30,-2,-2,-2,-2,-2,-2,50,6527,2168,-7,1373,-1,8589,2500,0,1380,0,2050,0,0.133907273,866.0927266
74,2023-10-11,11,10,2023,500000,1,1,2,32,-1,0,0,0,0,0,386405,387910,293177,274539,253443,253671,25016,20018,10000,79377,52778,10000,0,0.141391993,858.6080074
75,2023-10-11,11,10,2023,150000,2,1,1,35,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349184453,650.8155465
76,2023-10-11,11,10,2023,130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,0.243429318,756.5706819
77,2023-10-11,11,10,2023,230000,2,2,2,27,1,2,0,0,0,0,13668,12647,13135,10596,9218,5068,0,1064,423,313,1000,4641,1,0.697787583,302.2124171
78,2023-10-11,11,10,2023,300000,1,2,2,41,0,0,0,-1,-1,2,34480,31159,18580,1400,6297,977,1472,1000,1410,6297,0,19480,0,0.096054047,903.9459527
79,2023-10-11,11,10,2023,10000,1,2,2,22,0,0,0,0,0,0,8602,8728,9721,9609,9503,9771,1158,1151,339,344,425,195,1,0.77643311,223.5668898
80,2023-10-11,11,10,2023,140000,2,2,2,26,0,0,0,0,0,0,101551,105246,104781,105334,107699,106828,5366,5087,3605,3894,3785,3304,1,0.917937934,82.0620656
81,2023-10-12,12,10,2023,70000,2,3,1,57,0,0,0,0,0,0,67864,65062,66447,49103,45830,46769,2620,2730,1936,1700,1700,2000,0,0.123051047,876.9489527
82,2023-10-12,12,10,2023,30000,2,1,2,26,-1,-1,-1,-1,-1,2,2635,807,11428,2462,3605,1559,1270,11500,2462,1559,0,3192,0,0.185867399,814.132601
83,2023-10-12,12,10,2023,360000,2,2,2,53,-1,-1,-1,-1,-1,-1,10733,15206,15000,9744,11114,8123,15206,15032,9769,11114,8123,8736,0,0.054072931,945.9270686
84,2023-10-12,12,10,2023,210000,2,2,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.589467883,410.5321169
85,2023-10-12,12,10,2023,80000,2,2,2,25,0,0,0,0,0,0,81003,85894,87061,89008,93523,80288,8213,3491,3508,19523,3288,1570,1,0.887503207,112.4967933
86,2023-10-12,12,10,2023,130000,2,3,2,53,-1,-1,-1,-1,-1,-1,11085,45677,27951,17255,10400,18776,45697,27951,17307,10400,18776,2944,0,0.048457351,951.5426494
87,2023-10-12,12,10,2023,10000,1,2,2,27,0,0,2,0,0,0,7015,10227,9560,9901,9963,10182,3507,0,500,370,393,700,1,0.662930906,337.0690942
88,2023-10-12,12,10,2023,50000,1,2,2,42,0,0,0,0,0,0,39236,39729,27068,28604,28199,58428,2094,1451,1987,1039,1500,1200,1,0.82757324,172.4267602
89,2023-10-13,13,10,2023,140000,1,1,2,29,-1,-1,-1,-1,-1,-1,2937,5150,1514,2573,495,1744,2024,1522,2580,496,1749,2265,0,0.146299437,853.7005633
90,2023-10-13,13,10,2023,120000,2,1,2,28,-2,-1,-1,-1,0,0,398,954,0,170,170,0,958,0,170,0,0,0,0,0.186682239,813.3177608
91,2023-10-13,13,10,2023,180000,2,3,1,45,-1,-1,-1,-1,-1,-1,396,396,396,396,396,396,396,396,396,396,396,396,0,0.245519102,754.4808984
92,2023-10-13,13,10,2023,50000,2,2,1,24,1,2,0,0,0,2,27087,26372,26992,27693,29237,28607,0,1400,1100,2100,0,1000,0,0.474653095,525.346905
93,2023-10-13,13,10,2023,280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,0.178816602,821.1833984
94,2023-10-13,13,10,2023,170000,2,2,2,27,0,0,0,0,0,0,97474,78520,80131,70788,68927,70678,2932,3000,2500,3000,2900,2918,0,0.067913689,932.0863113
95,2023-10-14,14,10,2023,50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0,0.267552078,732.4479222
96,2023-10-14,14,10,2023,130000,1,3,1,34,0,0,0,0,0,0,5444,5927,7106,7106,8106,9106,1321,1500,0,1000,1000,598,0,0.180462494,819.5375055
97,2023-10-14,14,10,2023,290000,2,1,1,50,0,0,0,0,0,0,165563,128747,120469,78892,81561,83687,7000,10009,5000,5000,5000,10000,0,0.051239662,948.7603381
98,2023-10-14,14,10,2023,360000,1,1,2,65,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.555859566,444.1404343
99,2023-10-14,14,10,2023,260000,2,1,2,33,-2,-1,-1,-1,0,0,0,204,-810,2190,810,0,204,0,3000,0,0,0,0,0.197413817,802.586183
100,2023-10-14,14,10,2023,50000,2,3,1,40,0,0,0,0,0,0,49941,51213,12104,12898,13687,14458,2400,1206,1000,1000,1000,1000,0,0.152311385,847.6886153
101,2023-10-14,14,10,2023,300000,2,2,2,35,0,0,0,0,0,0,291619,297268,205629,215827,208464,212508,12019,9006,17000,12000,9557,15000,0,0.117890887,882.109113
102,2023-10-14,14,10,2023,320000,1,2,1,41,1,-2,-2,-2,-2,-2,0,0,0,0,700,860,0,0,0,700,860,2420,1,0.773289084,226.7109156
103,2023-10-15,15,10,2023,50000,1,2,1,41,0,0,0,0,0,0,21986,21520,20979,19894,18811,18805,1362,1294,682,680,694,618,0,0.203299478,796.7005223
104,2023-10-15,15,10,2023,100000,2,2,2,25,2,0,0,0,0,0,70896,71678,70125,69856,69718,51365,3472,2092,2000,2127,1960,1559,1,0.68632859,313.6714101
105,2023-10-15,15,10,2023,50000,1,3,1,48,-1,-1,0,0,0,0,2722,33868,26646,26832,27395,27940,33895,1439,959,994,1000,1013,0,0.167322084,832.6779157
106,2023-10-15,15,10,2023,50000,1,2,1,27,-1,-1,2,-1,-1,-1,819,3003,1677,1177,1313,1085,2184,5,1180,1316,1088,0,0,0.299665719,700.3342807
107,2023-10-15,15,10,2023,90000,2,1,2,25,2,2,2,2,0,0,86014,92898,92860,88533,90942,88813,8300,2400,1000,4000,3600,4000,0,0.376236022,623.7639785
108,2023-10-15,15,10,2023,260000,1,2,2,32,0,0,0,0,0,0,106093,95060,90948,84986,84491,72248,4410,6500,9500,10000,9000,8000,0,0.045105584,954.894416
109,2023-10-16,16,10,2023,110000,2,2,2,33,1,-2,-2,-2,-2,-1,0,0,0,0,0,150,0,0,0,0,300,102,1,0.719906151,280.0938487
110,2023-10-16,16,10,2023,150000,1,2,1,43,0,0,0,0,0,0,153249,154049,156523,159653,162866,157759,7900,6500,5700,5700,5700,5334,0,0.143735856,856.2641442
111,2023-10-16,16,10,2023,220000,1,1,1,48,2,0,0,0,0,0,210380,213522,201852,169115,172169,162402,10000,9020,6000,5500,6000,5500,1,0.704581261,295.4187393
112,2023-10-16,16,10,2023,20000,1,3,2,50,-1,-1,-1,-1,-1,0,2191,1140,12656,1693,303,12303,1140,12656,1700,500,12000,0,0,0.172315672,827.684328
113,2023-10-16,16,10,2023,50000,1,2,2,29,0,0,0,0,0,0,49276,35100,32563,27823,29130,28309,1602,1400,3000,3130,1062,6318,0,0.162181616,837.8183842
114,2023-10-16,16,10,2023,30000,2,2,2,23,-1,0,0,0,0,-1,3226,5591,6992,20412,14427,5119,3596,2992,16500,0,5119,0,1,0.78776747,212.2325301
115,2023-10-16,16,10,2023,210000,2,2,1,33,0,0,0,0,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,0,0.077666096,922.3339036
116,2023-10-16,16,10,2023,260000,2,1,2,30,0,0,0,0,0,0,156882,160246,159988,158114,158762,159108,10000,8000,6000,7000,7000,6000,0,0.053838354,946.1616464
117,2023-10-16,16,10,2023,320000,1,1,2,28,-1,0,0,-1,0,0,2007,3477,3037,1633,3633,0,2000,1000,1633,2000,0,3000,0,0.087759592,912.2404084
118,2023-10-16,16,10,2023,50000,2,3,1,56,0,0,0,0,0,0,33197,34961,28913,29093,29306,29506,2407,2960,1029,1059,1073,1200,0,0.126588196,873.4118044
119,2023-10-16,16,10,2023,100000,2,1,2,28,2,0,0,0,0,0,96193,82342,81967,82177,78840,79261,3600,3800,3000,3000,3023,3000,1,0.689367294,310.6327057
120,2023-10-17,17,10,2023,70000,2,1,1,40,0,0,0,0,0,0,51959,40519,31310,28929,29535,28160,1597,1407,972,1007,1028,913,0,0.12679325,873.2067496
121,2023-10-17,17,10,2023,140000,2,2,2,42,-1,-1,-1,0,-1,-1,176,395,1204,700,748,-784,395,1204,0,748,0,2688,0,0.31250754,687.49246
122,2023-10-17,17,10,2023,70000,2,3,1,32,2,2,0,0,0,-1,18317,17330,11400,11120,10914,11315,0,1000,110,500,18963,1000,0,0.485153288,514.8467124
123,2023-10-17,17,10,2023,50000,1,1,2,29,0,0,0,0,0,0,2087,2632,3355,3253,3640,3512,1000,1186,500,1000,500,1000,0,0.174551159,825.4488409
124,2023-10-17,17,10,2023,230000,1,1,1,61,-1,-1,-1,-1,-1,-1,1477,3699,2252,4932,2783,7411,3710,2266,7338,2791,7433,4527,0,0.135662258,864.3377423
125,2023-10-18,18,10,2023,60000,2,2,1,38,-2,-2,-2,-2,-2,-2,4764,30500,0,0,52829,41404,30500,0,0,52829,41404,22401,0,0.058820069,941.1799312
126,2023-10-18,18,10,2023,20000,2,1,2,25,0,0,2,0,0,0,11968,14564,27820,15824,15761,12510,2800,0,4000,1700,1000,2000,1,0.734553337,265.4466629
127,2023-10-18,18,10,2023,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,0.112636738,887.3632625
128,2023-10-18,18,10,2023,300000,2,1,1,30,0,0,0,0,0,0,93738,84636,88446,76244,67747,70389,3000,5000,2500,2500,3500,87000,1,0.945613384,54.38661575
129,2023-10-18,18,10,2023,100000,1,2,2,37,0,0,0,0,0,0,99209,98222,67185,66926,66796,64513,3490,2332,2314,2365,2497,2305,0,0.140353978,859.6460223
130,2023-10-18,18,10,2023,20000,1,1,1,39,-1,-1,-1,-1,-1,-1,628,662,596,630,664,598,700,600,700,700,600,1400,0,0.252863795,747.1362054
131,2023-10-18,18,10,2023,270000,2,2,1,32,1,2,2,2,2,2,234752,233036,229286,217644,223690,221413,10000,8000,0,16000,8000,0,1,0.542581618,457.4183822
132,2023-10-18,18,10,2023,90000,2,1,2,25,2,0,0,0,0,-1,84710,87334,87862,18889,-783,73568,4000,3258,1000,0,77500,0,0,0.408205479,591.7945206
133,2023-10-18,18,10,2023,210000,2,2,1,35,0,0,0,0,0,0,37148,35754,34232,32331,30337,28012,2000,2000,2444,1342,1038,2000,0,0.054760542,945.2394582
134,2023-10-18,18,10,2023,130000,2,3,1,43,0,0,0,0,0,0,130067,129385,96775,98071,97743,100124,5540,4403,3814,3562,4021,3681,0,0.107324444,892.6755562
135,2023-10-18,18,10,2023,130000,2,2,2,23,0,0,0,0,0,0,133622,129784,126021,70186,71762,73192,4752,5010,2505,2700,2623,2800,0,0.112407058,887.5929415
136,2023-10-18,18,10,2023,290000,2,1,1,30,-1,-1,-1,-1,-1,-1,1312,1312,1311,1486,1488,1650,1318,1317,1493,1495,1657,35267,1,0.881496727,118.5032725
137,2023-10-19,19,10,2023,80000,1,2,2,29,0,0,0,0,0,0,41815,42938,44022,44792,45915,46998,2100,2100,1800,2000,2000,2500,0,0.126481161,873.5188395
138,2023-10-19,19,10,2023,310000,2,2,2,28,0,0,0,0,0,0,106468,108955,112374,54762,58189,57170,8000,6000,5000,5000,4000,5000,0,0.034033023,965.9669772
139,2023-10-19,19,10,2023,50000,1,2,1,55,0,0,0,0,0,0,50528,50541,49345,20238,18646,19034,2100,1305,1201,663,684,652,0,0.179892689,820.107311
140,2023-10-19,19,10,2023,180000,2,1,2,27,-1,2,-1,-1,-1,2,980,980,376,0,2202,150,0,376,0,2202,0,819,0,0.366795689,633.2043111
141,2023-10-19,19,10,2023,80000,2,2,2,29,2,0,0,0,0,0,77416,75500,69313,67972,66800,68693,2661,2509,2500,3000,3000,3000,1,0.695884705,304.1152954
142,2023-10-19,19,10,2023,200000,2,1,2,43,-2,-2,-2,-2,-2,-2,830,-6,-6,657,2088,150,0,0,663,2088,150,594,0,0.142153248,857.8467518
143,2023-10-19,19,10,2023,100000,2,1,1,41,1,-2,-2,-2,-2,-1,0,0,0,0,0,18149,0,0,0,0,18149,0,0,0.270651251,729.3487489
144,2023-10-19,19,10,2023,50000,1,1,2,39,0,0,0,0,0,0,47174,47974,48630,50803,30789,15874,1800,2000,3000,2000,2000,2000,0,0.149495244,850.504756
145,2023-10-19,19,10,2023,50000,2,1,2,26,-1,-1,-1,-1,-1,-1,1156,316,316,316,316,316,316,316,316,316,316,316,0,0.217464924,782.5350761
146,2023-10-20,20,10,2023,260000,1,1,1,41,-2,-2,-1,0,0,0,1086,2853,38836,45087,47201,46199,3552,38836,20000,15000,15000,10000,0,0.066667713,933.3322868
147,2023-10-20,20,10,2023,180000,2,2,2,24,1,2,2,2,2,2,108580,105403,112073,111345,98404,102460,0,8564,4000,0,7414,0,1,0.51602155,483.9784503
148,2023-10-20,20,10,2023,380000,1,1,2,43,1,2,2,-2,-2,-2,8201,7882,-2,-2,-2,-2,39,0,0,0,0,0,1,0.522277415,477.7225852
149,2023-10-21,21,10,2023,20000,2,1,1,30,2,2,2,0,0,0,5766,7511,7678,7318,7458,7598,2000,500,0,500,500,0,1,0.640733838,359.2661619
150,2023-10-21,21,10,2023,170000,1,2,1,42,1,-1,-1,-2,-2,-1,0,1690,0,0,0,4750,1690,0,0,0,4750,0,0,0.321502477,678.4975231
151,2023-10-21,21,10,2023,50000,2,1,2,25,1,2,2,2,2,2,47054,48008,48913,49847,50840,49502,2000,2000,2000,1900,1900,1600,1,0.513098061,486.9019389
152,2023-10-21,21,10,2023,50000,2,2,1,44,-2,-2,-2,-2,-2,-2,1473,390,390,390,390,0,390,390,390,390,0,780,0,0.161597148,838.4028524
153,2023-10-21,21,10,2023,240000,2,2,2,30,0,-1,-1,-2,-2,-2,7818,9363,0,0,0,0,9434,0,0,0,0,178,0,0.095214613,904.7853872
154,2023-10-21,21,10,2023,50000,2,2,1,49,0,0,0,0,0,0,34962,32275,31253,32014,33573,29645,1613,2000,1500,2000,1645,1064,0,0.142173171,857.826829
155,2023-10-21,21,10,2023,260000,1,3,1,36,-1,0,0,0,0,0,154462,153799,77156,73658,70273,67100,7425,2795,2779,2947,3400,5000,0,0.110403813,889.5961866
